team,name,gender,position,board,attack_score,attack_total,block_score,block_total,serve_score,serve_total,receive_nice,receive_total,dig_nice,dig_total,set_nice,set_total,points
1,¶À¦t±á,0,4,24,7,12,7,69,2,114,3,6,9,88,202,641,16
1,§õ¨Î°a,0,1,24,0,0,0,0,0,0,261,456,163,574,12,37,0
1,¸âÌÉ¿«,0,2,24,166,330,25,135,4,232,217,498,65,295,6,24,195
1,À¹¾§Á¾,0,4,24,12,32,12,110,4,267,2,3,49,268,665,1454,28
1,²øªò±¶,0,5,14,3,7,0,11,1,11,2,5,1,12,0,1,4
1,½²¨K¹ü,0,5,24,149,243,66,266,12,278,6,15,11,104,2,16,227
1,´¿­ZÁo,0,3,24,48,129,4,32,0,48,0,1,9,61,1,4,52
1,§õ¿³°ê,0,3,24,336,672,35,185,13,296,1,7,40,274,3,16,384
1,¶À«Ø³{,0,2,24,125,230,21,77,2,93,50,157,10,108,0,4,148
1,ÃC®¶´I,0,5,24,69,128,14,108,4,158,3,16,13,63,3,10,87
1,§f«¸Ä£±j,0,5,10,0,2,0,1,0,11,0,0,0,4,2,3,0
1,³\¯¾¸Û,0,2,24,276,560,25,137,27,395,225,486,75,316,4,33,328
1,ªL©y·u,0,5,24,114,205,59,276,13,262,7,12,18,108,2,9,186
1,¶À¥¿¨},0,3,24,438,901,36,166,6,304,3,5,46,246,8,29,480
2,³¯«Ø§Ê,0,5,24,59,122,31,190,1,134,2,11,18,84,3,17,91
2,¼B¨Î©÷,0,4,12,4,14,4,28,0,76,1,1,23,77,182,376,8
2,¬xºaµo,0,3,24,57,130,7,34,1,48,0,0,4,39,1,1,65
2,¶À¼á¯E,0,2,24,133,336,17,101,10,315,191,486,56,312,10,40,160
2,´ö¶Q¥þ,0,1,24,0,0,0,0,0,0,223,519,175,654,27,67,0
2,±i¯§±á,0,2,24,58,143,3,34,8,116,52,159,23,111,66,120,69
2,³¯«ÂµÏ,0,2,24,15,48,6,19,0,41,28,66,2,31,0,2,21
2,¥Ì©ú­×,0,2,24,328,683,30,163,33,362,277,754,64,372,10,38,391
2,¥î¬F§Ê,0,5,24,75,144,13,116,7,165,7,19,12,75,0,11,95
2,´¿²»»Ê,0,5,24,157,290,57,309,12,384,6,16,23,147,8,28,226
2,¬_³Í³Ç,0,4,12,1,7,7,24,2,49,0,2,2,51,62,244,10
2,§d­P§Ê,0,4,24,6,20,13,116,4,231,1,4,53,322,500,1541,23
3,¶À­³µ{,0,4,24,7,15,3,38,3,93,0,3,10,74,147,454,13
3,¶À¥@»¨,0,2,14,12,26,2,13,0,14,6,21,5,19,0,0,14
3,³¯¬L»Ê,0,2,24,97,208,14,83,1,90,20,84,7,91,1,8,112
3,³¯¥KªF,0,5,24,24,41,9,71,0,111,2,4,6,39,0,2,33
3,°ª°¶¸Û,0,2,24,498,895,36,153,20,395,241,681,69,441,3,30,554
3,¼ï§¡¾§,0,3,24,188,458,26,194,3,285,0,1,50,285,2,23,217
