team,name,gender,position,board,attack_score,attack_total,block_score,block_total,serve_score,serve_total,receive_nice,receive_total,dig_nice,dig_total,set_nice,set_total,points
5,¶À¤å«Û,0,3,21,12,27,2,9,0,12,8,27,4,13,0,0,14
5,§õÅvÓT,0,2,21,68,133,10,32,1,61,5,26,7,49,0,1,79
5,¶À¤¯«Â,0,4,21,10,15,2,41,3,124,0,2,5,74,208,545,15
7,´^__ØÆ,1,3,22,45,171,2,25,1,64,13,59,17,82,2,4,48
7,´¿Ú{²Ü,1,5,22,238,558,54,321,11,270,5,33,22,214,0,1,303
7,§õ¿Ù,1,3,22,89,249,17,102,4,123,0,5,31,170,0,4,110
7,³¢ÂÑ»ö,1,1,22,2,4,0,3,0,6,31,51,48,207,0,0,2
7,³¯«º¶®,1,2,22,197,596,16,107,14,275,126,403,61,362,0,1,227
7,¶Àªä·ì,1,5,22,164,371,52,333,8,275,10,32,11,141,0,4,224
7,§õ«º¼ü,1,2,22,191,612,15,126,11,227,124,348,46,310,0,1,217
7,±iÒõªå,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
7,³\Û`ªå,1,2,22,64,189,2,49,8,116,58,132,19,150,0,1,74
7,ÁÂÐwêÝ,1,4,22,10,37,3,101,10,182,1,2,17,262,407,1455,23
7,·¨©s¾ì,1,1,22,0,0,0,0,0,0,183,402,150,627,0,12,0
7,¼B·Ô²E,1,4,22,12,35,3,51,6,112,1,2,4,147,183,1071,21
7,³\´f¼ü,1,2,20,2,12,1,2,0,7,1,5,0,16,0,0,3
7,¹ù¹Å»T,1,5,22,5,14,1,11,0,46,0,1,1,17,0,0,6
7,¶À_¸©,1,5,22,148,383,16,85,14,160,3,16,29,258,0,2,178
8,¿½´ð­â,1,2,25,159,551,12,99,9,253,146,398,47,313,0,2,180
8,³¯²úÂè,1,4,25,2,5,0,9,0,16,0,0,4,24,10,63,2
8,§dªÚ§±,1,2,25,282,782,18,154,23,347,162,550,84,542,0,9,323
8,³¯²ú¶v,1,2,25,24,70,1,17,1,14,2,24,3,26,0,6,26
8,³¯¼ä,1,3,25,71,260,5,49,3,141,38,133,29,194,0,1,79
8,³¯¨Î½¯,1,4,25,15,54,2,32,4,58,0,1,8,102,43,215,21
8,¥Ì¥i¼z,1,5,25,246,611,40,320,15,264,3,16,22,193,0,2,301
8,§E¡Ä»y,1,5,25,127,347,38,313,11,256,1,18,19,179,0,1,176
8,Beatriz,1,3,25,256,632,13,105,8,199,9,42,43,330,0,4,277
8,¹ùÐw¥ô,1,4,25,21,86,5,138,9,295,0,4,30,386,532,2541,35
8,½²¨Gº½,1,5,25,2,6,0,8,2,38,0,0,0,3,0,3,4
8,º~®R,1,5,13,24,62,6,53,0,39,2,8,2,32,0,0,30
8,³¯©É§D,1,1,25,0,0,0,0,0,0,9,32,6,39,0,0,0
8,±iªéÞ±,1,2,12,39,130,1,21,6,53,11,62,7,98,0,0,46
8,¿à´ðµ{,1,1,25,0,0,0,0,0,0,154,358,224,929,1,17,0
9,Valdez,1,5,21,212,461,49,285,7,188,4,20,7,199,0,1,268
9,Peonia,1,2,20,88,247,8,50,4,105,43,240,16,152,0,1,100
9,¶À±¡ºû,1,4,20,7,12,0,21,4,61,0,2,11,83,83,524,11
9,¨È¬ü®R,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,ªL¨ä»T,1,1,21,0,0,0,0,0,0,143,325,135,664,0,5,0
9,µ£µaªÚ,1,2,21,101,369,3,61,8,172,60,281,25,220,1,3,112
9,­J¾å¨Ø,1,5,21,20,59,7,54,5,60,2,6,1,45,0,1,32
9,ªô¶®¼z,1,3,21,44,128,9,45,4,38,1,6,1,74,0,0,57
9,³¯«F¦¼,1,4,21,11,34,8,101,10,198,0,1,10,298,388,1796,29
9,¼B¬üµ×,1,5,21,153,389,29,232,7,180,9,41,11,204,0,0,189
9,³¯¬Õºö,1,2,21,49,206,4,34,1,103,42,185,12,120,0,0,54
9,±iªéÞ±,1,1,21,0,0,0,0,0,0,16,108,14,114,0,0,0
9,¶À½¯¨È,1,3,21,104,379,7,111,4,155,0,6,13,226,0,0,115
9,³¯¥©²â,1,4,1,0,0,0,0,0,1,0,0,0,3,0,9,0
10,¸­¤_¶²,1,5,21,47,131,9,107,6,122,1,9,6,75,0,1,62
10,ÅÇ¸Ö¶²,1,2,21,152,476,10,92,11,218,122,368,29,278,0,0,173
10,Milana,1,4,23,40,94,26,155,17,212,0,7,7,277,374,1697,83
10,¤B¬X¦w,1,1,23,0,0,0,0,0,0,78,195,59,311,0,5,0
10,³¯©É¦p,1,5,23,39,114,23,177,8,162,4,20,7,130,0,0,70
10,°ªÝõ´D,1,2,23,3,7,0,6,2,44,2,5,3,20,0,0,5
10,ªL®Ñ²ü,1,2,23,279,815,24,187,16,282,202,562,62,461,0,5,319
10,¦¿«äßÙ,1,5,23,9,22,3,69,2,57,1,1,2,33,0,2,14
10,½²¥®¸s,1,2,23,175,538,9,132,16,273,107,395,20,318,0,0,200
10,³¯Û`´@,1,3,23,283,758,23,168,15,288,18,88,31,385,0,3,321
10,Berkeley,1,5,23,178,397,63,376,10,203,1,6,8,134,0,1,251
10,Maria,1,3,22,71,199,12,83,6,99,2,6,9,140,0,0,89
10,±i¹Å²Ü,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,¶À¯Àµ^,1,2,23,2,4,1,3,0,19,6,29,6,37,0,0,3
10,Renele,1,5,22,8,27,17,96,4,90,1,3,3,50,0,1,29
11,÷á§±¶²,1,4,23,0,8,0,42,1,72,0,0,6,78,133,666,1
11,¸â¨Î¯ô,1,1,23,0,0,0,0,0,0,142,338,58,451,0,3,0
11,§d¨K½{,1,2,21,69,275,2,55,2,111,71,270,31,199,0,3,73
11,¾G¥ì§D,1,2,21,92,342,15,91,6,152,113,395,34,300,0,2,113
11,¶À¯\ºÂ,1,3,21,22,107,0,30,1,54,10,46,3,104,0,0,23
11,¬x®aº½,1,4,21,7,24,10,88,2,116,0,2,4,184,149,1112,19
11,ÁÂ¹t¼ü,1,4,21,37,130,2,18,2,34,17,95,6,79,0,45,41
11,¬x¸Ö²[,1,3,21,150,438,10,64,3,116,4,15,16,191,0,2,163
11,¦¿©û®x,1,1,21,0,0,0,0,0,0,67,183,75,439,0,7,0
11,¹ù¹Å¦w,1,5,21,64,204,16,128,3,94,2,14,1,116,0,1,83
11,±iãI°Z,1,3,21,75,205,13,65,2,74,1,11,6,109,0,1,90
11,±i¬¬·ç,1,4,21,3,14,5,45,3,119,0,2,21,147,186,951,11
11,­J®f¿o,1,5,21,67,205,12,93,15,147,9,33,9,122,0,1,94
11,§õ«ä¨Ì,1,1,21,6,16,0,5,0,6,57,158,30,193,0,2,6
11,§õ¤l¹ä,1,5,21,27,76,3,31,2,81,1,9,1,51,0,0,32
11,§d¨Ø¯ø,1,2,21,132,394,4,72,4,111,86,326,26,267,0,0,140
11,¼ï«Å»T,1,5,21,48,165,17,92,3,95,5,20,6,88,0,1,68
