team,name,gender,position,board,attack_score,attack_total,block_score,block_total,serve_score,serve_total,receive_nice,receive_total,dig_nice,dig_total,set_nice,set_total,points
1,¶À¥¿¨},0,3,22,308,572,31,152,10,302,0,1,24,189,0,3,349
1,¶À¦t±á,0,4,22,1,8,8,50,2,95,2,6,11,50,142,437,11
1,§õ¨Î°a,0,1,22,0,0,0,0,0,0,243,419,116,429,0,8,0
1,¸âÌÉ¿«,0,2,22,47,94,14,36,0,89,36,149,7,67,0,1,61
1,À¹¾§Á¾,0,4,22,18,27,5,86,12,276,0,4,17,131,594,1260,35
1,²øªò±¶,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1,½²¨K¹ü,0,5,22,190,308,62,267,17,272,2,11,3,79,0,2,269
1,´¿­ZÁo,0,3,22,41,79,8,28,2,28,0,0,0,23,0,0,51
1,³¯Ík§Ê,0,1,22,0,0,0,0,0,0,4,15,1,13,0,0,0
1,³¯¸Î¤¯,0,4,22,4,9,1,10,1,37,0,0,0,17,44,132,6
1,¼BÂE±Ó,0,2,22,300,574,31,152,7,256,182,393,27,286,0,9,338
1,±iµ½·½,0,2,22,4,8,2,8,2,57,5,15,0,15,0,0,8
1,ÃC®¶´I,0,5,22,70,133,13,111,4,161,0,4,4,62,0,2,87
1,³\¯¾¸Û,0,2,22,130,277,28,100,10,276,201,439,20,194,1,3,168
1,ªL©y·u,0,5,20,57,103,27,129,3,142,1,7,8,55,0,1,87
2,·Å¶h³Í,0,2,24,198,421,13,76,18,232,139,382,16,177,0,1,229
2,¼B¨Î©÷,0,4,24,26,44,18,90,4,225,0,8,17,222,455,1449,48
2,¬xºaµo,0,3,24,314,682,30,127,12,240,0,1,12,206,0,0,356
2,³¯¬RºÓ,0,1,24,0,0,0,0,0,0,54,105,35,147,0,1,0
2,³\§Ê®¦,0,4,8,0,0,1,1,0,2,0,0,0,2,0,10,1
2,§d¦°¥°,0,5,24,28,67,14,60,2,105,0,1,1,43,0,0,44
2,Ä¬³{¿A,0,1,24,0,0,0,0,0,0,179,373,58,333,0,1,0
2,±i¯§±á,0,2,24,109,268,14,50,9,151,106,311,14,133,0,1,132
2,²ø©¨²»,0,3,24,7,26,0,4,0,9,0,0,0,14,0,0,7
2,³¯«Ø¹ü,0,5,16,53,118,13,102,7,181,1,12,5,85,0,1,73
2,¥Ì©ú­×,0,2,24,70,176,4,25,4,86,53,174,4,83,0,0,78
2,±i¥°êM,0,2,8,9,19,1,4,0,7,6,18,0,3,0,0,10
2,³\ºÍ®¦,0,5,24,53,123,27,181,5,242,1,9,5,106,0,1,85
2,¬_³Í³Ç,0,4,24,5,16,4,23,2,59,0,1,3,50,86,373,11
2,³¯«ÂµÏ,0,2,16,69,137,5,18,5,61,33,104,8,59,0,0,79
2,¶ÀÆN,0,2,24,42,1115,3,29,1,86,60,189,3,68,0,0,46
3,¶À­³µ{,0,4,25,4,14,4,40,2,104,1,2,9,98,196,607,10
3,©P¨|¾^,0,4,10,0,0,0,1,0,1,0,0,0,1,3,9,0
3,Â²°¶­Û,0,1,25,0,0,0,0,0,0,17,38,78,328,0,6,0
3,³¯¬L»Ê,0,2,25,76,153,11,42,4,78,24,78,3,55,0,0,91
3,³¯¥KªF,0,5,20,10,21,5,20,1,53,0,2,2,9,0,0,16
3,°ª°¶¸Û,0,2,25,322,577,24,125,13,305,241,616,37,276,0,3,359
3,¼ï§¡¾§,0,3,5,11,21,2,12,0,8,0,0,0,7,0,0,13
3,§d©v°a,0,3,25,393,723,36,169,48,377,1,3,21,209,0,2,477
3,¿c²M»Í,0,4,25,15,29,23,118,5,250,0,6,13,177,569,1410,43
3,¶À¬fèû,0,1,25,0,0,0,0,0,0,225,460,56,243,1,7,0
3,ªL¬R¥à,0,5,25,73,123,26,170,5,221,2,5,5,61,0,2,104
3,¬I©v¿Ù,0,5,25,28,53,19,101,4,156,1,6,0,41,0,0,51
3,§õ­×·ì,0,2,5,0,0,0,0,0,14,0,0,0,3,0,0,0
3,§õ­×·ì,0,2,10,0,0,0,1,0,18,1,2,0,5,0,0,0
3,¬_©v¨j,0,5,25,75,130,35,174,8,221,0,6,1,73,0,1,118
3,¶À¤h®i,0,2,25,66,148,6,35,13,147,69,178,10,118,1,3,85
3,µJÂ{¸Û,0,2,25,211,452,28,112,6,223,157,373,19,163,0,3,245
4,³¯´ÂÃ¢,0,4,22,9,29,9,51,3,102,0,2,3,81,154,687,21
4,±i©û«G,0,1,22,0,0,0,0,0,0,145,297,76,393,1,8,0
4,³¯«É§Ê,0,2,10,1,10,0,2,1,24,1,3,1,10,0,0,2
4,¹ù¶£ª@,0,5,22,35,86,26,138,1,119,0,7,3,61,0,2,62
4,¦¶³Í¶h,0,3,12,18,45,1,13,1,25,0,0,0,17,0,0,20
4,ªL¸t®¦,0,2,22,104,224,7,40,6,115,39,122,9,94,0,0,117
4,³¢®a»Ê,0,2,10,13,34,0,5,0,11,9,25,0,8,0,0,13
4,§õÞ³°a,0,1,22,0,0,0,0,0,0,43,102,17,96,0,0,0
4,·¨¤l¾e,0,2,12,12,36,4,11,3,54,7,43,0,24,0,0,19
4,©P¤l´­,0,4,22,5,13,10,47,6,117,0,6,1,113,249,784,21
4,§º¬f¾^,0,2,22,211,470,20,81,15,262,147,455,17,200,0,5,246
4,©P«a¦t,0,3,22,199,397,15,87,16,199,0,0,9,138,0,1,230
4,¤ý«T³Ç,0,5,22,37,88,21,75,1,117,0,7,0,43,0,1,59
4,§d«H½å,0,2,12,37,98,4,34,1,76,26,102,4,70,0,0,42
4,¹p¿Õ,0,2,22,220,505,26,96,6,203,108,404,12,167,0,4,252
4,¥Û­×´¼,0,4,10,2,3,3,23,0,49,0,2,0,38,69,341,5
4,¾G®¶_,0,5,22,57,128,18,107,0,171,0,8,3,82,0,0,75
5,§õ¥§§Æ¦Ì,0,2,21,341,710,18,93,14,306,194,513,46,270,0,2,373
5,³¯¬FÀB,0,5,21,81,161,38,188,8,196,2,13,7,94,0,2,127
5,ªLÁ¾,0,4,21,9,34,17,102,7,239,0,3,12,141,510,1342,33
5,³\®aÄË,0,3,21,0,7,1,2,0,7,0,0,1,4,0,0,1
5,¬xº³¶v,0,2,21,147,311,6,50,8,195,78,230,16,144,0,4,161
5,¥Ì­Z§»,0,5,21,61,135,43,180,14,248,2,12,0,96,0,0,118
5,ªLÀAÀs,0,3,21,166,368,21,118,11,228,2,7,17,171,0,0,198
5,´¿²»»Ê,0,5,21,165,333,29,115,1,151,74,194,11,102,0,1,195
5,§õ³søÊ,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,¹ù¤h³Ô,0,2,21,2,3,0,0,0,11,60,136,12,74,0,1,2
5,¶À·N³Í,0,1,21,0,0,0,0,0,0,42,126,37,193,0,2,0
5,¾G¥É´Ë,0,1,21,0,0,0,0,0,0,168,340,66,259,0,6,0
