date,game,team,team1,game1,game2,game3,game4,game5,total,score
2020/10/31,1,1,台電男排,25,25,25,0,0,75,3
2020/10/31,1,2,雲林Mizuno,18,20,19,0,0,57,0
2020/10/31,2,1,台電男排,25,25,25,0,0,75,3
2020/10/31,2,2,雲林Mizuno,18,20,19,0,0,57,0
2020/10/31,3,3,臺中長力,21,29,30,25,15,120,3
2020/10/31,3,5,桃園臺產,25,31,28,13,7,104,2
2020/10/31,4,3,臺中長力,21,29,30,25,15,120,3
2020/10/31,4,5,桃園臺產,25,31,28,13,7,104,2
2020/10/31,5,7,台電女排,25,25,25,0,0,75,3
2020/10/31,5,9,中國人纖,13,17,22,0,0,52,0
2020/10/31,6,10,極速超跑,13,21,16,0,0,50,0
2020/10/31,6,8,臺北鯨華,25,25,25,0,0,75,3
2020/10/31,7,7,台電女排,25,25,25,0,0,75,3
2020/10/31,7,9,中國人纖,13,17,22,0,0,52,0
2020/10/31,8,10,極速超跑,13,21,16,0,0,50,0
2020/10/31,8,8,臺北鯨華,25,25,25,0,0,75,3
2020/11/1,9,5,conti,16,25,18,0,0,59,0
2020/11/1,9,1,台電男排,25,27,25,0,0,77,3
2020/11/1,10,2,雲林Mizuno,23,23,21,0,0,67,0
2020/11/1,10,3,臺中長力,25,25,25,0,0,75,3
2020/11/1,11,2,雲林Mizuno,23,23,21,0,0,67,0
2020/11/1,11,3,臺中長力,25,25,25,0,0,75,3
2020/11/1,12,4,conti,16,25,18,0,0,59,0
2020/11/1,12,1,台電男排,25,27,25,0,0,77,3
2020/11/1,13,11,愛山林,15,24,14,0,0,53,0
2020/11/1,13,7,台電女排,25,26,25,0,0,76,3
2020/11/1,14,9,中國人纖,25,25,20,25,0,95,3
2020/11/1,14,10,極速超跑,16,17,25,21,0,79,1
2020/11/1,15,9,中國人纖,25,25,20,25,0,95,3
2020/11/1,15,10,極速超跑,16,17,25,21,0,79,1
2020/11/1,16,11,愛山林,15,24,14,0,0,53,0
2020/11/1,16,7,台電女排,25,26,25,0,0,76,3
2020/11/7,17,2,雲林Mizuno,25,27,20,25,15,112,3
2020/11/7,17,5,桃園臺產,12,29,25,19,13,98,2
2020/11/7,18,3,臺中長力,25,25,21,23,15,109,3
2020/11/7,18,4,conti,19,20,25,25,11,100,2
2020/11/7,19,3,臺中長力,25,25,21,23,15,109,3
2020/11/7,19,4,conti,19,20,25,25,11,100,2
2020/11/7,20,2,雲林Mizuno,25,27,20,25,15,112,3
2020/11/7,20,5,桃園臺產,12,29,25,19,13,98,2
2020/11/7,21,9,中國人纖,19,21,23,0,0,63,0
2020/11/7,21,8,臺北鯨華,25,25,25,0,0,75,3
2020/11/7,22,9,中國人纖,19,21,23,0,0,63,0
2020/11/7,22,8,臺北鯨華,25,25,25,0,0,75,3
2020/11/7,23,10,極速超跑,21,25,25,25,0,96,3
2020/11/7,23,11,愛山林,25,22,21,13,0,81,1
2020/11/7,24,10,極速超跑,21,25,25,25,0,96,3
2020/11/7,24,11,愛山林,25,22,21,13,0,81,1
2020/11/8,25,4,conti,25,22,25,23,12,107,2
2020/11/8,25,2,雲林Mizuno,19,25,21,25,15,105,3
2020/11/8,26,5,桃園臺產,18,19,21,0,0,58,0
2020/11/8,26,3,臺中長力,25,25,25,0,0,75,3
2020/11/8,27,4,conti,25,22,25,23,12,107,2
2020/11/8,27,2,雲林Mizuno,19,25,21,25,15,105,3
2020/11/8,28,5,桃園臺產,18,19,21,0,0,58,0
2020/11/8,28,3,臺中長力,25,25,25,0,0,75,3
2020/11/8,29,8,臺北鯨華,21,20,25,25,15,106,3
2020/11/8,29,10,極速超跑,25,25,23,23,12,108,2
2020/11/8,30,11,愛山林,24,25,21,23,0,93,1
2020/11/8,30,9,中國人纖,26,22,25,25,0,98,3
2020/11/8,31,8,臺北鯨華,21,20,25,25,15,106,3
2020/11/8,31,10,極速超跑,25,25,23,23,12,108,2
2020/11/8,32,11,愛山林,24,25,21,23,0,93,1
2020/11/8,32,9,中國人纖,26,22,25,25,0,98,3
2020/11/14,33,1,台電男排,25,21,25,25,0,96,3
2020/11/14,33,3,臺中長力,20,25,13,22,0,80,1
2020/11/14,34,1,台電男排,25,21,25,25,0,96,3
2020/11/14,34,3,臺中長力,20,25,13,22,0,80,1
2020/11/14,35,5,桃園臺產,17,20,26,0,0,63,0
2020/11/14,35,4,conti,25,25,28,0,0,78,3
2020/11/14,36,5,桃園臺產,17,20,26,0,0,63,0
