date,game,team,team1,game1,game2,game3,game4,game5,total,score
2019/10/26,1,3,長力男排,13,16,21,0,0,50,0
2019/10/26,1,1,台電公司,25,25,25,0,0,75,3
2019/10/26,2,4,conti,22,19,15,0,0,56,0
2019/10/26,2,2,雲林Mizuno,25,25,25,0,0,75,3
2019/10/26,3,3,長力男排,13,16,21,0,0,50,0
2019/10/26,3,1,台電公司,25,25,25,0,0,75,3
2019/10/26,4,4,conti,22,19,15,0,0,56,0
2019/10/26,4,2,雲林Mizuno,25,25,25,0,0,75,3
2019/10/26,5,9,中國人纖,17,28,9,15,0,69,1
2019/10/26,5,7,台電公司,25,26,25,25,0,101,3
2019/10/26,6,11,愛山林,17,31,17,17,0,82,1
2019/10/26,6,8,臺北鯨華,25,29,25,25,0,104,3
2019/10/26,7,9,中國人纖,17,28,9,15,0,69,1
2019/10/26,7,7,台電公司,25,26,25,25,0,101,3
2019/10/26,8,11,愛山林,17,31,17,17,0,82,1
2019/10/26,8,8,臺北鯨華,25,29,25,25,0,104,3
2019/10/27,9,1,台電公司,25,25,25,0,0,75,3
2019/10/27,9,4,conti,20,16,10,0,0,46,0
2019/10/27,10,5,桃園台灣產險,18,16,25,20,0,79,1
2019/10/27,10,3,長力男排,25,25,23,25,0,98,3
2019/10/27,11,1,台電公司,25,25,25,0,0,75,3
2019/10/27,11,4,conti,20,16,10,0,0,46,0
2019/10/27,12,5,桃園台灣產險,18,16,25,20,0,79,1
2019/10/27,12,3,長力男排,25,25,23,25,0,98,3
2019/10/27,13,7,台電公司,25,25,25,0,0,75,3
2019/10/27,13,10,極速超跑,12,10,16,0,0,38,0
2019/10/27,14,8,臺北鯨華,22,25,27,25,0,99,3
2019/10/27,14,11,愛山林,25,21,25,17,0,88,1
2019/10/27,15,7,台電公司,25,25,25,0,0,75,3
2019/10/27,15,10,極速超跑,12,10,16,0,0,38,0
2019/10/27,16,8,臺北鯨華,22,25,27,25,0,99,3
2019/10/27,16,11,愛山林,25,21,25,17,0,88,1
2019/11/9,17,2,雲林Mizuno,19,15,21,0,0,55,0
2019/11/9,17,3,長力男排,25,25,25,0,0,75,3
2019/11/9,18,2,雲林Mizuno,19,15,21,0,0,55,0
2019/11/9,18,3,長力男排,25,25,25,0,0,75,3
2019/11/9,19,4,conti,22,22,25,25,15,109,3
2019/11/9,19,5,桃園台灣產險,25,25,16,21,11,98,2
2019/11/9,20,4,conti,22,22,25,25,15,109,3
2019/11/9,20,5,桃園台灣產險,25,25,16,21,11,98,2
2019/11/9,21,9,中國人纖,25,25,25,0,0,75,3
2019/11/9,21,8,臺北鯨華,14,19,20,0,0,53,0
2019/11/9,22,9,中國人纖,25,25,25,0,0,75,3
2019/11/9,22,8,臺北鯨華,14,19,20,0,0,53,0
2019/11/9,23,10,極速超跑,25,25,25,0,0,75,3
2019/11/9,23,11,愛山林,14,16,18,0,0,48,0
2019/11/9,24,10,極速超跑,25,25,25,0,0,75,3
2019/11/9,24,11,愛山林,14,16,18,0,0,48,0
2019/11/10,25,5,桃園台灣產險,18,20,26,0,0,64,0
2019/11/10,25,2,雲林Mizuno,25,25,28,0,0,78,3
2019/11/10,26,3,長力男排,25,25,25,0,0,75,3
2019/11/10,26,4,conti,16,20,10,0,0,46,0
2019/11/10,27,3,長力男排,25,25,25,0,0,75,3
2019/11/10,27,4,conti,16,20,10,0,0,46,0
2019/11/10,28,5,桃園台灣產險,18,20,26,0,0,64,0
2019/11/10,28,2,雲林Mizuno,25,25,28,0,0,78,3
2019/11/10,29,8,臺北鯨華,30,14,20,0,0,64,0
2019/11/10,29,10,極速超跑,32,25,25,0,0,82,3
2019/11/10,30,11,愛山林,25,22,25,25,0,97,3
2019/11/10,30,9,中國人纖,20,25,23,17,0,85,1
2019/11/10,31,8,臺北鯨華,30,14,20,0,0,64,0
2019/11/10,31,10,極速超跑,32,25,25,0,0,82,3
2019/11/10,32,11,愛山林,25,22,25,25,0,97,3
2019/11/10,32,9,中國人纖,20,25,23,17,0,85,1
2019/11/16,33,1,台電公司,25,17,25,25,0,92,3
2019/11/16,33,2,雲林Mizuno,18,25,16,19,0,78,1
2019/11/16,34,1,台電公司,25,17,25,25,0,92,3
2019/11/16,34,2,雲林Mizuno,18,25,16,19,0,78,1
2019/11/16,35,3,長力男排,23,28,20,25,12,108,2
2019/11/16,35,5,桃園台灣產險,25,26,25,13,15,104,3
2019/11/16,36,3,長力男排,23,28,20,25,12,108,2
2019/11/16,36,5,桃園台灣產險,25,26,25,13,15,104,3
2019/11/16,37,7,台電公司,25,25,25,0,0,75,3
2019/11/16,37,8,臺北鯨華,13,23,13,0,0,49,0
2019/11/16,38,7,台電公司,25,25,25,0,0,75,3
2019/11/16,38,8,臺北鯨華,13,23,13,0,0,49,0
2019/11/16,39,9,中國人纖,22,28,25,25,0,100,3
2019/11/16,39,11,愛山林,25,26,21,20,0,92,1
2019/11/16,40,9,中國人纖,22,28,25,25,0,100,3
2019/11/16,40,11,愛山林,25,26,21,20,0,92,1
2019/11/17,41,5,桃園台灣產險,19,21,20,0,0,60,0
2019/11/17,41,1,台電公司,25,25,25,0,0,75,3
2019/11/17,42,2,雲林Mizuno,21,25,25,12,12,95,2
2019/11/17,42,3,長力男排,25,23,22,25,15,110,3
2019/11/17,43,2,雲林Mizuno,21,25,25,12,12,95,2
2019/11/17,43,3,長力男排,25,23,22,25,15,110,3
2019/11/17,44,5,桃園台灣產險,19,21,20,0,0,60,0
2019/11/17,44,1,台電公司,25,25,25,0,0,75,3
2019/11/17,45,11,愛山林,25,14,10,0,0,49,0
2019/11/17,45,7,台電公司,27,25,25,0,0,77,3
2019/11/17,46,10,極速超跑,27,25,17,21,14,104,2
2019/11/17,46,9,中國人纖,25,23,25,25,16,114,3
2019/11/17,47,10,極速超跑,27,25,17,21,14,104,2
2019/11/17,47,9,中國人纖,25,23,25,25,16,114,3
2019/11/17,48,11,愛山林,25,14,10,0,0,49,0
2019/11/17,48,7,台電公司,27,25,25,0,0,77,3
2019/11/23,49,1,台電公司,25,25,25,0,0,75,3
2019/11/23,49,2,雲林Mizuno,18,20,21,0,0,59,0
2019/11/23,50,1,台電公司,25,25,25,0,0,75,3
2019/11/23,50,2,雲林Mizuno,18,20,21,0,0,59,0
2019/11/23,51,5,桃園台灣產險,25,26,25,0,0,76,3
2019/11/23,51,4,conti,17,24,20,0,0,61,0
2019/11/23,52,5,桃園台灣產險,25,26,25,0,0,76,3
2019/11/23,52,4,conti,17,24,20,0,0,61,0
2019/11/23,53,9,中國人纖,26,22,21,19,0,88,1
2019/11/23,53,7,台電公司,24,25,25,25,0,99,3
2019/11/23,54,10,極速超跑,14,25,25,25,0,89,3
2019/11/23,54,8,臺北鯨華,25,17,23,23,0,88,1
2019/11/23,55,9,中國人纖,26,22,21,19,0,88,1
2019/11/23,55,7,台電公司,24,25,25,25,0,99,3
2019/11/23,56,10,極速超跑,14,25,25,25,0,89,3
2019/11/23,56,8,臺北鯨華,25,17,23,23,0,88,1
2019/11/24,57,4,conti,22,17,19,0,0,58,0
2019/11/24,57,1,台電公司,25,25,25,0,0,75,3
2019/11/24,58,2,雲林Mizuno,25,25,25,0,0,75,3
2019/11/24,58,5,桃園台灣產險,18,23,18,0,0,59,0
2019/11/24,59,4,conti,22,17,19,0,0,58,0
2019/11/24,59,1,台電公司,25,25,25,0,0,75,3
2019/11/24,60,2,雲林Mizuno,25,25,25,0,0,75,3
2019/11/24,60,5,桃園台灣產險,18,23,18,0,0,59,0
2019/11/24,61,7,台電公司,25,25,25,0,0,75,3
2019/11/24,61,10,極速超跑,21,20,22,0,0,63,0
2019/11/24,62,8,臺北鯨華,23,25,25,17,13,103,2
2019/11/24,62,9,中國人纖,25,18,23,25,15,106,3
2019/11/24,63,8,臺北鯨華,23,25,25,17,13,103,2
2019/11/24,63,9,中國人纖,25,18,23,25,15,106,3
2019/11/24,64,7,台電公司,25,25,25,0,0,75,3
2019/11/24,64,10,極速超跑,21,20,22,0,0,63,0
2019/11/30,65,1,台電公司,25,25,25,0,0,75,3
2019/11/30,65,5,桃園台灣產險,14,9,19,0,0,42,0
2019/11/30,66,4,conti,18,17,22,0,0,57,0
2019/11/30,66,3,長力男排,25,25,25,0,0,75,3
2019/11/30,67,4,conti,18,17,22,0,0,57,0
2019/11/30,67,3,長力男排,25,25,25,0,0,75,3
2019/11/30,68,1,台電公司,25,25,25,0,0,75,3
2019/11/30,68,5,桃園台灣產險,14,9,19,0,0,42,0
2019/11/30,69,8,臺北鯨華,20,19,22,0,0,61,0
2019/11/30,69,7,台電公司,25,25,25,0,0,75,3
2019/11/30,70,8,臺北鯨華,20,19,22,0,0,61,0
2019/11/30,70,7,台電公司,25,25,25,0,0,75,3
2019/11/30,71,11,愛山林,14,19,23,0,0,56,0
2019/11/30,71,10,極速超跑,25,25,25,0,0,75,3
2019/11/30,72,11,愛山林,14,19,23,0,0,56,0
2019/11/30,72,10,極速超跑,25,25,25,0,0,75,3
2019/12/1,73,3,長力男排,25,23,15,21,0,84,1
2019/12/1,73,1,台電公司,23,25,25,25,0,98,3
2019/12/1,74,2,雲林Mizuno,25,26,25,0,0,76,3
2019/12/1,74,4,conti,23,24,21,0,0,68,0
2019/12/1,75,3,長力男排,25,23,15,21,0,84,1
2019/12/1,75,1,台電公司,23,25,25,25,0,98,3
2019/12/1,76,2,雲林Mizuno,25,26,25,0,0,76,3
2019/12/1,76,4,conti,23,24,21,0,0,68,0
2019/12/1,77,7,台電公司,25,25,25,0,0,75,3
2019/12/1,77,11,愛山林,17,18,14,0,0,49,0
2019/12/1,78,10,極速超跑,25,25,23,13,12,98,2
2019/12/1,78,9,中國人纖,18,18,25,25,15,101,3
2019/12/1,79,10,極速超跑,25,25,23,13,12,98,2
2019/12/1,79,9,中國人纖,18,18,25,25,15,101,3
2019/12/1,80,7,台電公司,25,25,25,0,0,75,3
2019/12/1,80,11,愛山林,17,18,14,0,0,49,0
2019/12/7,81,1,台電公司,18,25,25,25,0,93,3
2019/12/7,81,2,雲林Mizuno,25,14,20,16,0,75,1
2019/12/7,82,1,台電公司,18,25,25,25,0,93,3
2019/12/7,82,2,雲林Mizuno,25,14,20,16,0,75,1
2019/12/7,83,3,長力男排,22,25,21,23,0,91,1
2019/12/7,83,5,桃園台灣產險,25,22,25,25,0,97,3
2019/12/7,84,3,長力男排,22,25,21,23,0,91,1
2019/12/7,84,5,桃園台灣產險,25,22,25,25,0,97,3
2019/12/7,85,10,極速超跑,25,25,25,0,0,75,3
2019/12/7,85,8,臺北鯨華,21,17,19,0,0,57,0
2019/12/7,86,11,愛山林,17,17,13,0,0,47,0
2019/12/7,86,9,中國人纖,25,25,25,0,0,75,3
2019/12/7,87,10,極速超跑,25,25,25,0,0,75,3
2019/12/7,87,8,臺北鯨華,21,17,19,0,0,57,0
2019/12/7,88,11,愛山林,17,17,13,0,0,47,0
2019/12/7,88,9,中國人纖,25,25,25,0,0,75,3
2019/12/8,89,1,台電公司,25,25,25,0,0,75,3
2019/12/8,89,4,conti,22,22,19,0,0,63,0
2019/12/8,90,5,桃園台灣產險,16,25,23,25,13,102,2
2019/12/8,90,2,雲林Mizuno,25,23,25,20,15,108,3
2019/12/8,91,1,台電公司,25,25,25,0,0,75,3
2019/12/8,91,4,conti,22,22,19,0,0,63,0
2019/12/8,92,5,桃園台灣產險,16,25,23,25,13,102,2
2019/12/8,92,2,雲林Mizuno,25,23,25,20,15,108,3
2019/12/8,93,8,臺北鯨華,25,25,25,0,0,75,3
2019/12/8,93,11,愛山林,20,20,18,0,0,58,0
2019/12/8,94,9,中國人纖,25,25,25,0,0,75,3
2019/12/8,94,10,極速超跑,16,17,20,0,0,53,0
2019/12/8,95,9,中國人纖,25,25,25,0,0,75,3
2019/12/8,95,10,極速超跑,16,17,20,0,0,53,0
2019/12/8,96,8,臺北鯨華,25,25,25,0,0,75,3
2019/12/8,96,11,愛山林,20,20,18,0,0,58,0
2019/12/14,97,3,長力男排,23,25,25,19,16,108,3
2019/12/14,97,2,雲林Mizuno,25,20,22,25,14,106,2
2019/12/14,98,3,長力男排,23,25,25,19,16,108,3
2019/12/14,98,2,雲林Mizuno,25,20,22,25,14,106,2
2019/12/14,99,5,桃園台灣產險,25,25,25,0,0,75,3
2019/12/14,99,4,conti,21,18,20,0,0,59,0
2019/12/14,100,5,桃園台灣產險,25,25,25,0,0,75,3
2019/12/14,100,4,conti,21,18,20,0,0,59,0
2019/12/14,101,7,台電公司,25,25,25,0,0,75,3
2019/12/14,101,11,愛山林,12,19,14,0,0,45,0
2019/12/14,102,10,極速超跑,22,23,25,25,15,110,3
2019/12/14,102,8,臺北鯨華,25,25,15,21,10,96,2
2019/12/14,103,10,極速超跑,22,23,25,25,15,110,3
2019/12/14,103,8,臺北鯨華,25,25,15,21,10,96,2
2019/12/14,104,7,台電公司,25,25,25,0,0,75,3
2019/12/14,104,11,愛山林,12,19,14,0,0,45,0
2019/12/15,105,2,雲林Mizuno,23,21,25,25,11,105,2
2019/12/15,105,1,台電公司,25,25,19,21,15,105,3
2019/12/15,106,2,雲林Mizuno,23,21,25,25,11,105,2
2019/12/15,106,1,台電公司,25,25,19,21,15,105,3
2019/12/15,107,4,conti,29,18,25,21,9,102,2
2019/12/15,107,3,長力男排,27,25,23,25,15,115,3
2019/12/15,108,4,conti,29,18,25,21,9,102,2
2019/12/15,108,3,長力男排,27,25,23,25,15,115,3
2019/12/15,109,8,臺北鯨華,25,13,20,19,0,77,1
2019/12/15,109,7,台電公司,20,25,25,25,0,95,3
2019/12/15,110,8,臺北鯨華,25,13,20,19,0,77,1
2019/12/15,110,7,台電公司,20,25,25,25,0,95,3
2019/12/15,111,11,愛山林,16,19,25,27,10,97,2
2019/12/15,111,10,極速超跑,25,25,22,25,15,112,3
2019/12/15,112,11,愛山林,16,19,25,27,10,97,2
2019/12/15,112,10,極速超跑,25,25,22,25,15,112,3
2020/1/4,113,5,桃園台灣產險,25,12,21,14,0,72,1
2020/1/4,113,1,台電公司,22,25,25,25,0,97,3
2020/1/4,114,3,長力男排,22,25,25,25,0,97,3
2020/1/4,114,4,conti,25,17,23,20,0,85,1
2020/1/4,115,3,長力男排,22,25,25,25,0,97,3
2020/1/4,115,4,conti,25,17,23,20,0,85,1
2020/1/4,116,5,桃園台灣產險,25,12,21,14,0,72,1
2020/1/4,116,1,台電公司,22,25,25,25,0,97,3
2020/1/4,117,7,台電公司,25,25,25,0,0,75,3
2020/1/4,117,10,極速超跑,19,22,9,0,0,50,0
2020/1/4,118,9,中國人纖,27,24,25,25,0,101,3
2020/1/4,118,8,臺北鯨華,25,26,20,23,0,94,1
2020/1/4,119,9,中國人纖,27,24,25,25,0,101,3
2020/1/4,119,8,臺北鯨華,25,26,20,23,0,94,1
2020/1/4,120,7,台電公司,25,25,25,0,0,75,3
2020/1/4,120,10,極速超跑,19,22,9,0,0,50,0
2020/1/18,121,2,雲林Mizuno,17,20,20,0,0,57,0
2020/1/18,121,1,台電公司,25,25,25,0,0,75,3
2020/1/18,122,2,雲林Mizuno,17,20,20,0,0,57,0
2020/1/18,122,1,台電公司,25,25,25,0,0,75,3
2020/1/18,123,3,長力男排,25,25,25,0,0,75,3
2020/1/18,123,5,桃園台灣產險,23,23,16,0,0,62,0
2020/1/18,124,3,長力男排,25,25,25,0,0,75,3
2020/1/18,124,5,桃園台灣產險,23,23,16,0,0,62,0
2020/1/18,125,7,台電公司,25,25,25,0,0,75,3
2020/1/18,125,8,臺北鯨華,14,13,21,0,0,48,0
2020/1/18,126,7,台電公司,25,25,25,0,0,75,3
2020/1/18,126,8,臺北鯨華,14,13,21,0,0,48,0
2020/1/18,127,9,中國人纖,22,25,21,25,15,108,3
2020/1/18,127,10,極速超跑,25,17,25,22,7,96,2
2020/1/18,128,9,中國人纖,22,25,21,25,15,108,3
2020/1/18,128,10,極速超跑,25,17,25,22,7,96,2
2020/1/19,129,1,台電公司,24,25,25,23,15,112,3
2020/1/19,129,3,長力男排,26,21,16,25,8,96,2
2020/1/19,130,5,桃園台灣產險,24,20,25,12,0,81,1
2020/1/19,130,2,雲林Mizuno,26,25,23,25,0,99,3
2020/1/19,131,1,台電公司,24,25,25,23,15,112,3
2020/1/19,131,3,長力男排,26,21,16,25,8,96,2
2020/1/19,132,5,桃園台灣產險,24,20,25,12,0,81,1
2020/1/19,132,2,雲林Mizuno,26,25,23,25,0,99,3
2020/1/19,133,10,極速超跑,23,17,27,24,0,91,1
2020/1/19,133,7,台電公司,25,25,25,26,0,101,3
2020/1/19,134,11,愛山林,12,22,17,0,0,51,0
2020/1/19,134,9,中國人纖,25,25,25,0,0,75,3
2020/1/19,135,10,極速超跑,23,17,27,24,0,91,1
2020/1/19,135,7,台電公司,25,25,25,26,0,101,3
2020/1/19,136,11,愛山林,12,22,17,0,0,51,0
2020/1/19,136,9,中國人纖,25,25,25,0,0,75,3
2020/2/1,137,3,長力男排,14,22,18,0,0,54,0
2020/2/1,137,1,台電公司,25,25,25,0,0,75,3
2020/2/1,138,2,雲林Mizuno,25,25,25,0,0,75,3
2020/2/1,138,4,conti,23,17,21,0,0,61,0
2020/2/1,139,3,長力男排,14,22,18,0,0,54,0
